"s10"	"s11"	"s1"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"s21"	"s2"	"s22"	"s23"	"s24"	"s25"	"s26"	"s27"	"s28"	"s29"	"s30"	"s3"	"s32"	"s34"	"s35"	"s36"	"s37"	"s38"	"s39"	"s40"	"s41"	"s4"	"s5"	"s6"	"s7"	"s9"	"ss11"	"ss1"	"ss12"	"ss13"	"ss14"	"ss15"	"ss16"	"ss18"	"ss19"	"ss21"	"ss2"	"ss23"	"ss24"	"ss25"	"ss26"	"ss27"	"ss28"	"ss29"	"ss30"	"ss3"	"ss4"	"ss5"	"ss7"	"ss8"	"ss9"
"FoxysporumFOSC3a"	0.00444475063837731	0	0	0	0	0.000283067603620435	0	0	0	0.000137491289926783	0	0	0.180037844689802	0	0	0	0	0	0	0	0	0	0.0012582096882354	0	0	0	0	0	0	0.0111247079764156	0	0	0	0	0	0.829019168882048	0.0510315666690967	0	0	0.0413621949538122	0	0	0.000183011583718191	0	0.0908040283968961	0	4.39360929557008	0.270354580430488	0	0.350840986482303	0	0	0.333333333333333	0	0.0039823185058341	0.0143287003868749	0	0	0	0	0	0	0
"Foxysporumrace1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00132060025128839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0415930123739212	0	0	0.0257201646090535	0	0	0	0	0	0	0	0	0	0	0	0
"Foxysporumrace4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011958191251824	0	0	0	0	0	0	0	0	0	0.00122445481149518	0	0.00230244980659422	0	0	0	0	0	0	0	0	0	0	0	0	0.0103982530934803	0	0	0.162894375857339	0	0	0	0	0	0	0	0	0	0	0	0
"FproliferatumET1"	0	0	0	0	0	0	0	0.000152727017256626	0	0	0	0	0	0	0	0	0	0.00953016296578671	0	0	0	0	0	0	0	0	0	0	0.0473098632908088	0	0.05507618872774	0	0	0	0	0	0	0	0.0151906425641805	0	0	0	0	0.778632865550023	0	0	0	0	0	0	0	0	0	0.00259780745051177	0	0	0	0	0	0	0	0.0540832882639265	0
"FproliferatumNRRL62905"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000103641066114191	0.0349439308745513	0	0	0	0	0	0	0	0	0	0	0.125615843910079	0	0	0	0	0	0	0	0	0	0.0303812851283609	0.0137873983179374	0	0	0	0.624717066545948	0	0	0	0	0.0167728950016773	0	0	0	0	0	0.0039823185058341	0	0	0	0	0	0	0.0540832882639265	0
"Fverticillioides7600"	0.0071116010214037	2.74172911716322	0.000452871079131399	8.34658187599364	0.118431912638761	0.00127380421629196	0.469487657439507	0	6.92374745755676	8.24947739560699e-05	5.920691157803e-05	0.000905850708556424	0.631969577278489	0	2.5574824629774	0.00144475787663935	0.00139915439254157	0.101655071635058	1.73397979411975	0.00216607199276383	0	0.670241286863271	0.0161279605491992	0.00162728633730391	0.0354149451068351	0.037818847719424	0.000113113726803202	0.712234348075818	0.292016052726027	0.00556235398820781	0.0183587295759133	0.427960057061341	0.00122445481149518	0.0348680486714179	0.0897955424571744	1.0598852665454	0.0801924619085806	13.3991537376587	0.881057268722467	8.13456500758307	0.000154223685519398	0.0963236474554503	0.00100656371045005	0.00905387052965143	0.38798084860492	0.00186660166500869	4.13943355119826	0.925444525319746	11.3887957061389	3.06469920544835	9.70507544581619	2.75391611925215	9.33333333333333	0	0.50575445024093	0.0143287003868749	0.0690925840626439	0.11363049429265	0	0.000149742293512864	4.35978004713276	8.5992428339643	0
"HarabidopsidisEmoy2"	0	0	0	0	0.000244189510595383	0	0.0757800114976569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00164700146912531	0	0	0	0	0	0	3.33333333333333	0	0	0	0	0	0	0	0	0	0
"HcapsulatumNAm1"	0	0	0	0	0	0	0	0	0	2.74982579853566e-05	0	0	0.00551136259254496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KheveanensisCBS569"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00588501584427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mcircinelloides1006PhL"	0	0	0	0	0	0	0	0	0	0	0	0	0.00183712086418165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.61607813673929
